id	surface	gloss	level
41516	먹어치우다	finish	
41517	먹으면 환각 증상을 일으킴	mescal	
41518	먹을 것을 마련하다	cater	
41519	먹을 것을 줌	feed	
41520	먹을 것이 없는	foodless	
41521	먹을 수 없는	inedible	
41522	먹을 수 있다	eat	
41523	먹을 수 있음	edibility	
41524	먹을거리	sth to eat	
41525	먹을것	creature comforts	
41526	먹을수 있는	clean	
41527	먹을수있는	edible	
41528	먹이	Food	C
41529	먹이 들어가다	eat	
41530	먹이 피라미드	food pyramid	
41531	먹이다	support,feed	B
41532	먹이로 하다	prey	
41533	먹이를 먹다	bait	
41534	먹이를 먹다	feed	
41535	먹이를 잡기에 알맞은	raptorial	
41536	먹이를 졸라 죽이는 큰 뱀	constrictor	
41537	먹이를 찾아다니는	ravening	
41538	먹이망	food web	
41539	먹이순환	food cycle	
41540	먹이연쇄	food chain 1	
41541	먹장어	hagfish	
41542	먹지 못할	uneatable	
41543	먹지 않은	uneaten	
41544	먹칠	smearing with ink or make black	
41545	먹통	scriber	
41546	먹히다	to be eaten,swallowed	B
41547	먼 곳의 번개	heat lightning	
41548	먼 교외 거주자	ruburb	
41549	먼 바다레이스용 대형 모터보트	Cigarette hull	
41550	먼곳의 환자에 비행기로 왕진하는 의사	flying doctor	
41551	먼과녁쏘기	roving	
41552	먼눈이 밝은	farseeing	
41553	먼로주의	monroe doctrine	
41554	먼발치	a distant, far-off place	
41555	먼저	First	A
41556	먼저 선택할 권리	preoption	
41557	먼저 일어날 수 있는	precedable	
41558	먼저 차지하다	preoccupy	
41559	먼저임	priority	
41560	먼지	Dust	B
41561	먼지 막는 안경	blinker	
41562	먼지 막이 커버	dustcloth	
41563	먼지 방지용 외투	dust coat	
41564	먼지 제거 장치	dusttrap	
41565	먼지 주머니	dust bag	
41566	먼지 터는 사람	duster	
41567	먼지가 안 묻는	dustproof	
41568	먼지로 더러워진	littery	
41569	먼지를 떨다	dust	
41570	먼지막이 덮개	vesperal	
41571	먼지잼	an extremely fine rain	
41572	먼지투성이	dustiness	
41573	먼지투성이가 되어	dustily	
41574	먼지투성이의	dusty	
41575	먼츠 메탈	muntz metal	
41576	멀거니	absentmindedly	
41577	멀거니 바라보니	glassyeyed	
41578	멀건	wishywashy, not too clear a little turbid	
41579	멀건 코피	dishwater	
41580	멀겋다	without doing anything	
41581	멀게	remotely	
41582	멀구슬 나무	China tree	
41583	멀구슬나무	persian lilac	
41584	멀다	To be far	A
41585	멀떠구니	craw, crop, proventriculus	
41586	멀리	Far away	B
41587	멀리 돌아서 가는 길	Robin Hood's barn	
41588	멀리 떨어져	remote	
41589	멀리 떨어져 있음	remotion	
41590	멀리 떨어져서	a long  way   off	
41591	멀리 떨어진	outlying	
41592	멀리 떨어진	remote	
41593	멀리 떨어진 곳	Timbuktu	
41594	멀리 바라다보다	sweep	
41595	멀리 보이는 경치	vista	
41596	멀리 볼 수 있는	telescopic	
41597	멀리 뻐치다	sweep	
41598	멀리 인적이 끊긴	ivory towered	
41599	멀리 하다	alienate	
41600	멀리 헤엄쳐 나가다	sharkbait	
41601	멀리까지 미치는	farreaching	
41602	멀리까지 보임	long sight	
41603	멀리까지 세력이 미치는	longreach	
41604	멀리까지 이르는	longreach	
41605	멀리뛰기	a long jump (athletics, track)	
41606	멀리서	from far away, from far off	
41607	멀리서 짖다	howl	
41608	멀리하다	estrange	
41609	멀리하다	refrain	
41610	멀린	Merlin	
41611	멀물다	bide	
41612	멀미	travel sickness	
41613	멀미약	Dramamine	
41614	멀미의	travelsick	
41615	멀미한	travelsick	
41616	멀어지다	Become distant to	B
41617	멀지 않아로 바꾸어 쓸 수 있음	someday	
41618	멀쩡하다	hypocritical	
41619	멀쩡하다	complete, whole	
41620	멀쩡하다	of a very clear mind	
41621	멀쩡하다	very clear and clean	
41622	멈추고 머뭇거리다	crane	
41623	멈추는	stopper	
41624	멈추다	Stop	B
41625	멈춘	run-down	
41626	멈춤	stop	
41627	멈춤 나사	setscrew	
41628	멈춤쇠	detent	
41629	멈춰	avast	
41630	멈춰서다	to refuse	
41631	멈춰서다	to stop and stand	
41632	멈칫	stopping, to stop	
41633	멉행목적으로미리 살펴 두다	case	
41634	멋	Smartness	B
41635	멋 부리는	foppish	
41636	멋내다	doll	
41637	멋대로 고치다	garble	
41638	멋대로 뜯어고치다	sophisticate	
41639	멋대로 제것으로 하다	arrogate	
41640	멋대로 하게하는	indulgent	
41641	멋대로 행동하다	rip	
41642	멋대로구는짓	escapade	
41643	멋대로의	arbitrary	
41644	멋대로함	liberty	
41645	멋도 모르고 말을 흉내냄	parrotry	
41646	멋들어지게	clinking	
41647	멋들어진	clinking	
41648	멋들어진	corking	
41649	멋들어진 사람	clinker	
41650	멋들어진것	clipper	
41651	멋부려 쓰기	quirk	
41652	멋부리게 하다	dandify	
41653	멋부리기	foppery	
41654	멋부리는	dandyish, excessively concerned with appearance	
41655	멋부리다	adonize, to pimp o.s. out	
41656	멋부린	dandified, dashing, swellish	
41657	멋부린 차림새	dandification	
41658	멋부림	dandyism, strutting	
41659	멋없음	inelegancy	
41660	멋없이 큰배	hulk	
41661	멋으로 앞 이마늘어뜨린 머리	kissmequick	
41662	멋을 낸	tony	
41663	멋을 부린	slickedup	
41664	멋이없는	icky	
41665	멋있는	artistic, cunning, tasty	
41666	멋있는 것	bobbydazzler	
41667	멋있다	stylish,tasteful	B
41668	멋장이	beau	
41669	멋장이	blade	
41670	멋쟁이	dresser, fancy pants, squire	
41671	멋쟁이 남자	exquisite	
41672	멋쟁이다운	dandiacal	
41673	멋쟁이들	swelldom	
41674	멋쟁이로 치장시키다	dandify	
41675	멋쟁이류의 나비	red admiral	
41676	멋쟁이의	dandyish, dudish, stylish	
41677	멋적은	inelegant	
41678	멋지게	fascinatingly well, gloriously	
41679	멋지게 차려입은	panoplied	
41680	멋지다	Be splendid	C
41681	멋지다!	biz	
41682	멋진	farout, grand, lovely, royal, stylish	
41683	멋진 것	cracker, dilly, peach	
41684	멋진 사람	smasher, a good looker	
41685	멋진것	beaut	
41686	멋진사람	beau, a beauty	
41687	멋짐	loveliness	
41688	멋짐	pyrotechnics	
41689	멋쩍다	to be unpleasant	
41690	멍게	sea squirt (eaten as food)	
41691	멍들게 하다	contuse	
41692	멍듦	contusion	
41693	멍멍	A bruise	C
41694	멍멍	a bark (of a dog)	
41695	멍멍하다	to be deafening	
41696	멍석	mat	
41697	멍석	matting	
41698	멍석을 깔다	mat	
41699	멍에	a yoke (as for on ox)	
41700	멍이 든	blackeyed	
41701	멍청이	blockhead, boob, dimwit, dullard, lardhead	
41702	멍청하게	dully	
41703	멍청하게 만들다	goof	
41704	멍청한	fatwitted, stupid	
41705	멍청함	hebetude	
41706	멍청해진	woozy	
41707	멍텅구리	beanhead, horse's ass, knothead, nitwit	
41708	멍텅구리 짓	tomfoolery	
41709	멍텅구리의	lumpish	
41710	멍하게	emptily	
41711	멍하고 있음	oscitation	
41712	멍하니	blankly, dazedly, gapingly	
41713	멍하니생각에잠김	brown study	
41714	멍하다	psychologically unresponsive to stimulus, air-headed, wide-eyed and out of it	
41715	멍한	absentminded look/stare, glassyeyed, vacant	
41716	멍해지다	to become spaced out	
41717	멎다	Stop	C
41718	멎은	overblown	
41719	멎음	stop	
41720	메	maul, rammer, hammer	
41721	메  마음대로의	arbitrary	
41722	메가 헤르츠	megahertz	
41723	메가다인.G.S. 단위계의 힘의 단위	megadyne	
41724	메가래드	megarad	
41725	메가론	megaton	
41726	메가바이트	megabyte	
41727	메가볼트	megavolt	
41728	메가볼트	mev	
41729	메가비트	megabit	
41730	메가완트	megawatt	
41731	메가퀴리	megacurie	
41732	메가톤 수	megatonnage	
41733	메가트렌드	megatrend	
41734	메가트론 진공관	megatron	
41735	메가폰	megaphone	
41736	메가폰	speaking trumpet	
41737	메기	bullhead, catfish	
41738	메기의 일종	sheatfish	
41739	메기입	splaymouth	
41740	메길라가 수록된 유대의 두루마리책	Megillah, -la	
41741	메길프	megilp	
41742	메꽃	bindweed	
41743	메꽃	convolvulus	
41744	메꽃과의 꽃	moonflower	
41745	메넬라오스	menelaus	
41746	메노파 신도	Mennonite	
41747	메뉴	Menu	A
41748	메뉴 정가표에 따른	alacarte	
41749	메뉴에 따라 조작하는 구조의	menudriven	
41750	메다	Put on one's shoulder	B
41751	메다듬 망치	hack hammer	
41752	메달	medal	
41753	메달 수집가	medal(l)ist	
41754	메달 재작가	medal(l)ist	
41755	메달아 올리다	sling	
41756	메달을 받은	medal(l)ed	
41757	메달의	medallic	
41758	메담페타민	methamphetamine	
41759	메데아	Meaea	
41760	메들리 레이스	medley race	
41761	메디나사우디아라비아 서부의 도시	Medina	
41762	메디아	Medea	
41763	메디치가	medici	
41764	메뚜기	grasshopper	
41765	메뚜기	locust	
41766	메뚜기목	Orthoptera	
41767	메뚜기목의	orthopteran	
41768	메렝게	merengue	
41769	메로빙 왕조486 , 75	merovingian	
41770	메로조이트	merozoite	
41771	메르카토르	Mercator	
41772	메르카토르식 투영도법	Mercator('s) projection	
41773	메르캅탄	mercaptan	
41774	메를루사	hake	
41775	메를루사	merluza	
41776	메리노나사	merino	
41777	메리노양	merino	
41778	메리랜드주와펜실바니아의주경계선	maxon, dixonline	
41779	메리야스	stockinet	
41780	메리야스 기계	knitting machine	
41781	메리야스 직공	knitter	
41782	메리야스의	knitted	
41783	메리야스의 코를 잡아 매는 기계 장치	looper	
41784	메린스	delaine	
41785	메마르다	to be very dried up, parched	
41786	메마른	infertile, sterile	
41787	메마른	hungry, impoverished	
41788	메마른 땅	barren	
41789	메모	Memo	B
41790	메모 용지	scratch paper	
41791	메모리 카드	memory card	
41792	메모장	note pad, tablet	
41793	메모지	jotter	
41794	메모지철	note pad	
41795	메모책	datebook	
41796	메모하는 사람	jotter	
41797	메밀	buckwheat	
41798	메밀가루	buckwheat	
41799	메서디스트교회	Methodist Church	
41800	메서디스트파	Methodism	
41801	메서디스트파의	methodistic, -tical	
41802	메소포타마아아시아 남서부 , Euphrates 두 강의 하류에 있었던 고대 왕국	Mesopotamia	
41803	메스	knife, scalpel	
41804	메스꺼운	disgusting, qualmish, squeamish, revolting	
41805	메스꺼움	qualm	
41806	메스꺼움	retch	
41807	메스꺼워져서	disgustedly	
41808	메스껍게	queasily	
41809	메스껍다	your insides turn over, it's so disgusting	
41810	메스칼 선인장의 정부	mescal button	
41811	메스칼 술	mescal	
41812	메스칼린	mescaline	
41813	메스티소	mestizo	
41814	메슥거리기 잘하는	queasy	
41815	메슥거리다	rise	
41816	메시아	messiah	
41817	메시아 신앙메시아의 천직	messianism	
41818	메시지	Message	B
41819	메시징	messenging	
41820	메신저 리보 핵산	messenger RNA	
41821	메아리	echo	
41822	메아리 효과	echo effect	
41823	메아리쳐서	resoundingly	
41824	메아리치는	resounding	
41825	메아리치다	echo	
41826	메아리치다	reply	
41827	메어치다	fling	
41828	메역취속의 식물	goldenrod	
41829	메우개	stopping	
41830	메우기	infilling	
41831	메우는 것	padding	
41832	메우는 나무	filler	
41833	메우는 물건	bolster	
41834	메우는 물건	wadding	
41835	메우는 사람	filler	
41836	메우는 솜	wadding	
41837	메우다	to fill up; filling in land, reclamation of land by draining	
41838	메우다	To carry,attach;put on	C
41839	메울수 없는	irreclaimable	
41840	메움	padding	
41841	메워 넣어 성형된	moldedin	
41842	메이다	catch	
41843	메이데이	May Day	
41844	메이데이	mayday	
41845	메이드스톤잉글랜드 동남부 주의 주도	Maidstone	
41846	메이시스	macy's	
41847	메이저	major league	
41848	메이저	maser	
41849	메이저 리그 개막전의 연습 시합	grapefruit league	
41850	메이저 리그의 선수	majorleaguer	
41851	메이즈자	mezuzah, za	
41852	메이크업	makeup	
41853	메이터링크	Maeterlinck	
41854	메인	choked	
41855	메인 코스	main course	
41856	메인 코스용 나이프	dinner knife	
41857	메인시트	mainsheet	
41858	메일	Mail	B
41859	메일그램	mailgram	
41860	메임	catch	
41861	메조사이클론	mesocyclone	
41862	메조소프라노	mezzosoprano	
41863	메주	hard legs	
41864	메주라다	not good	
41865	메지 바르기	pointing	
41866	메지에 회반죽을 바르다	point	
41867	메추라기	quail	
41868	메추라기의일종	bobwhite	
41869	메카	Meaca	
41870	메카 방향	kibla	
41871	메카 순례	hadj	
41872	메카 순례	haj	
41873	메카 요배	kibla	
41874	메카노세트강철 조립 세트의 장난감	Meccano	
41875	메카사우디아라비아 서부의 도시	Mecca	
41876	메카순례를 마친 회교도	hajji	
41877	메켄지강	mackenzie	
41878	메콩강	mekong	
41879	메클린 레이스	Mechlin lace	
41880	메타돈	methadone	
41881	메타돈 유치법	methadone maintenance	
41882	메타세쿼이어	metasequoia	
41883	메타콸론	methaqualone	
41884	메타크릴산	methacrylic acid	
41885	메타픽션	metafiction	
41886	메탄	marsh gas	
41887	메탄	methane	
41888	메탄 열	methane series	
41889	메탄계	paraffin series	
41890	메탄계의 탄화 수소	paraffin	
41891	메탄올	methanol	
41892	메탈 스키	metal ski	
41893	메탈 테이프	metal tape	
41894	메테글린	metheglin	
41895	메테드린	methedrine	
41896	메토트렉사트	methotrexate	
41897	메토프	merope	
41898	메톡시플루란	methoxyflurane	
41899	메톤 주기	Metonic cycle	
41900	메트라졸	metrazol	
41901	메트로놈의	metronomic, -ical	
41902	메트로니다졸	metronidazole	
41903	메트로라이너	Metroliner	
41904	메트로폴리스주	metropolitan county	
41905	메트리컬저칼로리의 대용 식품	Metrecal	
41906	메트엔케팔린	metenkephalin	
41907	메틀사진 현상의 주요 약물	Metol	
41908	메티실린	methicillin	
41909	메티에	metier	
41910	메틸	methyl	
41911	메틸 수은	methylmercury	
41912	메틸도파	methyldopa	
41913	메틸렌	methylene	
41914	메틸알코올	methanol, methyl alcohol, wood alcohol	
41915	메틸을 섞다	methylate	
41916	메틸의	methylic	
41917	메틸청	methyl blue	
41918	메페리딘	meperidine	
41919	메피스토펠레스	Mephistopheles	
41920	메피티스	mephitis	
41921	멕시코	Mexico	
41922	멕시코인	a spik	
41923	멕없는	milk and water	
41924	멘델 학설 지지자	Mendelian	
41925	멘델레븀	mendelevium	
41926	멘델레븀방사성 원소	mendelevium	
41927	멘델의	Mendelian	
41928	멘델의 유전	Mendel's laws	
41929	멘델의 유전학설	mendelism	
41930	멘딩 테이프	mending tape	
41931	멘셰비키	Menshevik	
41932	멘셰비키의 정책	Menshevism	
41933	멘스	menses	
41934	멘탈체에 거주하는 몸	mental body	
41935	멘톨	menthol	
41936	멘틴	menthene	
41937	멘히르	menhir	
41938	멜대	yoke	
41939	멜라네사아 말	Melanesian	
41940	멜라네시아	melanesia	
41941	멜라네시아 사람	Melanesian	
41942	멜라네시아의	Melanesian	
41943	멜라닌	melanin	
41944	멜라닌화하다	melanize	
41945	멜라민	melamine	
41946	멜로 드라마식의	melodramatic	
41947	멜로드라마	melodrama	
41948	멜로드라마 작가	melodramatist	
41949	멜로드라마식으로 하다	melodramatize	
41950	멜로드라마식의	hammy	
41951	멜로드라마적 언동	melodramatics	
41952	멜로드라마적인	corny	
41953	멜로디온	melodeon	
41954	멜로디카	melodica	
41955	멜로트론	mellotron	
41956	멜론	melon	
41957	멜론에 수종의 아이스크림을 넣어 얼린 식후용 과자	bombe	
41958	멜론의 일종	cantaloupe, -loup	
41959	멜리나이트	melinite	
41960	멜리셔스	delicious	
41961	멜리틴	melittin	
41962	멜릴라이트	melilite	
41963	멜버른	Melbourne	
41964	멜빵	suspenders	
41965	멜턴 나사	melton	
41966	멜포메네	melopomene	
41967	멤논	Memnon	
41968	멤버에 넣다	cap	
41969	멤피스에서 숭배된 성스러운 소	Apis	
41970	멧누에	tussah	
41971	멧누에 나방	cecropia (moth)	
41972	멧누에 명주	tussah	
41973	멧누에 실	tussah silk	
41974	멧도요	cock	
41975	멧돼지	boar	
41976	멧돼지	wild boar	
41977	멧돼지 사냥용의 큰 개	boarhound	
41978	멧돼지의 일종	babirusa	
41979	멧새과에 속하는 멋쟁이새의 일종	indigo bunting	
41980	멧새의 일종	yellowhammer	
41981	멧새의무리	bunting	
41982	멧세류	ortolan	
41983	멧종다리	song sparrow	
41984	멩고바이러스	mengovirus	
41985	며느리	Daughter-in-law	B
41986	며느리발톱	calcar, spur, hind claw; a horny projection on the back of the legs of males such as chickens and pheasants used as a weapon in battle;	
41987	며칠	for how many days	A
41988	멱		
41989	멱감기수영복 차림의 미인	bathing	
41990	멱급수	power series	
41991	멱등원	idemportent	
41992	멱살	the collar, the neck of a person	
41993	멱지수	exponent	
41994	면	Subdivision of a county	C
41995	면	Side	C
41996	면	Cotton	C
41997	면 숫자	sateen	
41998	면 좋겠다고 생각하다	wish	
41999	면 플란넬	cotton flannel	
42000	면 플란넬의 일종	swansdown	
42001	면각	facial angle	
42002	면구		
42003	면담	An interview	C
42004	면담자	the interviewer	
42005	면데 것을 볼 수 있는	longsighted	
42006	면도	shave	
42007	면도기	razor	
42008	면도날	razoredge	
42009	면도날	shiv	
42010	면도날 숫돌	hone	
42011	면도사		
42012	면도용 솔	shaving brush	
42013	면도용 크림	shaving cream	
42014	면도칼	razor	
42015	면도칼 숫돌	razor-grinder	
42016	면도칼로 가는 가죽	razor strap	
42017	면도칼로 자르다	razor-cut	
42018	면도칼로 해치는 사람	razor slasher	
42019	면도하다	scrape	
42020	면도하다	shave	
42021	면도하지 않은	unshaved	
42022	면도함	shaving	
42023	면독성	mithridatism	
42024	면독성을 기르다	mithridatize	
42025	면류관	crown	
42026	면리		
42027	면면	endlessness, continuity	
42028	면면	each and every person	
42029	면모	imago	
42030	면모교직	half wool	
42031	면모교직물	linseywoolsey	
42032	면모로 덮인	tomentose, tomentous	
42033	면목	face	
42034	면목 없게	disgracefully	
42035	면목없는	ignominious	
42036	면목없는	inglorious	
42037	면목없음	ignominy	
42038	면목을 세움	credit	
42039	면민		
42040	면밀	narrowness	
42041	면밀성	scrupulosity	
42042	면밀하게	elaborate	
42043	면밀하게	elaborately	
42044	면밀하게 살피다	inspect	
42045	면밀한	close, elaborate, indepth	
42046	면밀히	close	
42047	면밀히	closely	
42048	면밀히 계획을 세우다	preplan	
42049	면밀히 분석하다	cardindex	
42050	면밀히 조사하다	ransack	
42051	면밀히 조사하다	spy	
42052	면박		
42053	면발	noodles	
42054	면벽구년		
42055	면복		
42056	면봉		
42057	면사	cotton	
42058	면사무소		
42059	면사방적	cotton spinning	
42060	면사의	cotton	
42061	면사포	a veil	
42062	면상	the top of the head, or the face	
42063	면상	the appearance of the face	
42064	면섬유		
42065	면세	tax free	
42066	면세금	amount of tax relief	
42067	면세점	a duty free shop	
42068	면세점	a duty free shop	
42069	면세품	a duty free item	
42070	면속 고위 성직자	prelate nullius	
42071	면수	pagination	
42072	면식	acquaintance, recognition	
42073	면실박	cottonseed meal	
42074	면실유	cottonseed oil	
42075	면업왕국	cottonocracy	
42076	면업자	cottonocracy	
42077	면여관옥		
42078	면역	immunization, immunosuppressive	
42079	면역 생물학	immunobiology	
42080	면역결여	immunodeficiency	
42081	면역능력	immunocompetence	
42082	면역단백질	immunoprotein	
42083	면역반응성의	immunoreactive	
42084	면역성	immunity	
42085	면역세포	immunocyte	
42086	면역세포화학	immunocytochemistry	
42087	면역시키다	immunize	
42088	면역억제	immunosuppression	
42089	면역억제약	immunosuppressive	
42090	면역요법	immunotherapy	
42091	면역원	immunogen	
42092	면역자	immune	
42093	면역조치	immunization	
42094	면역증		
42095	면역질	immunity	
42096	면역체	immune body	
42097	면역학	immunology	
42098	면역학습	immune tolerance	
42099	면역화학	immunochemistry	
42100	면역화학자	immunochemist	
42101	면의	cotton	
42102	면이 닳아 없어진	faceless	
42103	면이 하나뿐임	mobius strip	
42104	면장		
42105	면재		
42106	면적	area,dimensions	C
42107	면적률		
42108	면적의	areal	
42109	면적의	superficial	
42110	면적의 단위	pole	
42111	면전	presence, being in front of somebody	
42112	면접	Interview	C
42113	면접 후 구직자를 구인처에 보내기	referral	
42114	면접시험		
42115	면접하다	interview	
42116	면제	acquittance, exemption, exoneration, forgiveness	
42117	면제된	exempt, immune	
42118	면제법	unwritten law	
42119	면제자	exempt	
42120	면제자	forgiver	
42121	면제조항	escape clause	
42122	면제품	cotton goods	
42123	면제하다	acquit, excuse, exempt	
42124	면제할 수 있는	remissible	
42125	면조		
42126	면조권		
42127	면조권론		
42128	면조권설		
42129	면종복배		
42130	면죄	absolution, exoneration, pardon	
42131	면죄부	pardon	
42132	면죄시	neckverse	
42133	면주		
42134	면지의 바깥장	pastedown	
42135	면직	removal from office, quitting the job, demission	
42136	면직 공장	cotton mill	
42137	면직물	cotton	
42138	면직사	cotton yarn	
42139	면직속 배포가 있다 , 생각하는 바가 있다 , 수수께끼를 풀다	(have an ax   to grind	
42140	면직시키다	dismiss, unseat from a job	
42141	면직하다	displace	
42142	면직할 수 있는	removable	
42143	면직할 수 있음	removability	
42144	면찬		
42145	면책	immunity bath, indemnification, indemnity	
42146	면책금		
42147	면책선서	compurgation	
42148	면책선서자	compurgator	
42149	면책조항	escape clause	
42150	면책특권의	privileged	
42151	면천		
42152	면청		
42153	면치못할	ineluctable	
42154	면케하다	save	
42155	면판	faceplate	
42156	면폐증	byssinosis	
42157	면포	cotton	
42158	면포의	cotton	
42159	면플란넬	flannelet(te)	
42160	면하게 하다	release	
42161	면하기 어려운	inevitable	
42162	면하다	escape,avoid	C
42163	면하다-연거푸 치다	beat	
42164	면학		
42165	면한	immune	
42166	면할수 없는	inescapable	
42167	면할수 없는	irremissible	
42168	면함	facing	
42169	면함	riddance	
42170	면허	a license, a permit	
42171	면허 교부	licensure	
42172	면허 받은	qualified	
42173	면허를 얻은	regular	
42174	면허받은 사람	licensee	
42175	면허세	franchise tax	
42176	면허없는	unlicensed	
42177	면허장	charter, diploma, a permit/certificate	
42178	면허장의 갱신	recertification	
42179	면허장이 없는	unchartered	
42180	면허증		
42181	면허하다	approbate, charter, license	
42182	면화	cotton	
42183	면화약	cotton powder, guncotton, nitrocotton, pyroxylin	
42184	면회	athome	
42185	면회객		
42186	면회를 거절하다	deny	
42187	면회실		
42188	면회일	reception day	
42189	면회일	visiting day	
42190	면회할 수 있는	visible	
42191	멸구	leafhopper	
42192	멸균	sterilization	
42193	멸균기	sterilant	
42194	멸균자	sterilizer	
42195	멸균제	sterilant	
42196	멸망	destruction, downfall, perdition, ruin	
42197	멸망당		
42198	멸망시키다	devour, fordo	
42199	멸망하다	perish	
42200	멸망한	ruined	
42201	멸문절호		
42202	멸문지화		
42203	멸사		
42204	멸사봉공		
42205	멸성제		
42206	멸쇄기	attenuator	
42207	멸시	contempt, disdain	
42208	멸시당		
42209	멸시하여	to be underfoot	
42210	멸시할	to be contemptible	
42211	멸실		
42212	멸종		
42213	멸종될 지경에 이른	endangered	
42214	멸치	Anchovy	C
42215	멸하다	destroy	
42216	몃 십만	hundred	
42217	명	Person counter	A
42218	명각	an inscription	
42219	명감독		
42220	명강의		
42221	명건축		
42222	명견만리		
42223	명경	a clean mirror	
42224	명경불피		
42225	명경지수	having a pure heart at rest. Your heart has no 잡념(distracting, stray thoughts) or 가식(pretense) or 허욕(greed)	
42226	명곡	a famous tune. 뛰어난 악곡	
42227	명공	a craftsman	
42228	명과	famous/good cake	
42229	명과기실		
42230	명관		
42231	명구	mot	
42232	명궁		
42233	명금	a songbird	
42234	명금류	oscine, a bird	
42235	명기	clearly and well written	
42236	명기	a famous, excellent article	
42237	명기	photophase, photoperiod	
42238	명기수	centaur	
42239	명기하다	stipulate	
42240	명기하다	treasure	
42241	명념시키다	imprint	
42242	명단	List of names	C
42243	명당		
42244	명도	evacuation	
42245	명도하다	evacuate	
42246	명동		
42247	명란	eggs of a polack (the fish)	
42248	명랑	jolliness, liveliness, mirth	
42249	명랑하게	cheerfully, merrily, sprightly	
42250	명랑하다	bright and happy	
42251	명랑한	cheerful, cheery, good humored, merry, sunshiny, upbeat	
42252	명랑함	cheeriness	
42253	명령	An order,command	B
42254	명령권	commandment	
42255	명령받다	to receive orders	
42256	명령법의	imperatival, imperative	
42257	명령서	precept, requisition, order	
42258	명령어	directive	C
42259	명령의	mandatory	
42260	명령자	bidder, dictator	
42261	명령적인	authoritative, dictatorial, imperative	
42262	명령제		
42263	명령하다	charge, command, dictate, order, prescribe	
42264	명료	lucidity, transparency; distinctness of meaning	
42265	명료도	clarity of speech/pronunciation	
42266	명료화		
42267	명륜당		
42268	명리	fame, riches	
42269	명마	crack	
42270	명망	influence	
42271	명망가	notable	
42272	명맥		
42273	명면각지		
42274	명멸		
42275	명멸광	blinker	
42276	명멸광	flashlight	
42277	명멸하는	blinking	
42278	명멸하는	flickering	
42279	명명	appellation, baptism, christening, denomination, naming	
42280	명명백백하다	as plain as day. 아주 명백하다.. No room for doubt.	
42281	명명법	glossology, nomenclature	
42282	명명일	name day	
42283	명명자	the nomenclator, the namer	
42284	명명하다	to baptize, denominate, designate, name	
42285	명모	beaux yeux	
42286	명모호치		
42287	명목	name, title, honorable...	
42288	명목	a reason for doing something	
42289	명목론	nominalism	
42290	명목론자	nominalist	
42291	명목론적인	nominalistic	
42292	명목상	nominal, token, in name only	
42293	명목소득	income expressed as the numerical value of a currency	
42294	명목으로	in the name of ; on the pretense of	
42295	명목임금	nominal wages	
42296	명목장담		
42297	명목화폐	token money	
42298	명문	blue blood, family, first family, famous family	
42299	명문	famous literary works; putting sth in writing	
42300	명문가	a stylist	
42301	명문거족		
42302	명문고		
42303	명문대		
42304	명문대가		
42305	명문대생		
42306	명문장가		
42307	명문집	chrestomathy	
42308	명문천하		
42309	명문초	delectus	
42310	명문화	stipulation, stipulating	
42311	명물		
42312	명민	acumen	
42313	명민한	clear-eyed, discerning, perspicacious, sagacious	
42314	명민함	agility	
42315	명반	alum	
42316	명반	fenestra	
42317	명반석	alunite	
42318	명반의	aluminous	
42319	명백	tangibility, transparency	
42320	명백시	incontestably	
42321	명백하게	concededly	
42322	명백한	apparent, clear, distinct, evident, explicit, glaring, incontrovertible, unambiguous, unequivocal	
42323	명백함	indisputability, obviosity	
42324	명백히	apparently, confessedly, evidently, expressly, visibly	
42325	명복	happiness after death, 저승에서 (in the afterlife)	
42326	명복명부		
42327	명부	list, register, roll, roster	
42328	명부식		
42329	명부의	infernal	
42330	명부전		
42331	명분	moral justification	
42332	명불허전		
42333	명사	celeb, celebrity, don, luminary	
42334	명사	a noun (part of speech)	
42335	명사들	respectability	
42336	명사록	Social Register	
42337	명사론	terminism	
42338	명사류	nominal	
42339	명사수	deadeye, marksman, rifleshot, sharpshooter	
42340	명사적		
42341	명산		
42342	명산대천		
42343	명산지		
42344	명상	meditation	
42345	명상기		
42346	명상록	meditation	
42347	명상실	time-out room in a psych hospital	
42348	명상적		
42349	명상적인	meditative	
42350	명상하다	contemplate	
42351	명색		
42352	명색뿐인	cardboard	
42353	명색뿐인	mere1	
42354	명석	clearness, lucidity	
42355	명석화		
42356	명선수		
42357	명성	fame, kudos, name, renown, repute	
42358	명성	Venus, the morning star	
42359	명성있는	renowned	
42360	명세	spec, specification, sth in great detail	
42361	명세서	a list, a specification ( the specification portion of a patent document)	
42362	명세표	schedule	
42363	명소	lion	
42364	명소	showplace	
42365	명수	concrete number or how many people, specifically	
42366	명수	past master, sb adept at sth	
42367	명수법	numeration	
42368	명수죽백		
42369	명수필		
42370	명승		
42371	명승부		
42372	명승지	showplace	
42373	명승지	beauty spot	
42374	명시	designation, manifestation, showing, show	
42375	명시도		
42376	명시되다	to be expressed	
42377	명시적		
42378	명시적인	evincive	
42379	명시하다	to make manifest, mark, state clearly	
42380	명실		
42381	명실공		
42382	명실상부		
42383	명심		
42384	명심시키다	to fix in sb`s mind	
42385	명심하다	to keep sth in mind	
42386	명아주	goosefoot	
42387	명아주류	lambsquarters	
42388	명안	tweak	
42389	명암	(color intensity) light and dark; sad and happy	
42390	명약		
